Car_ID,Brand,Manufacture_Year,Body_Type,Fuel_Type,Transmission,Engine_CC,Horsepower,Mileage_km_per_l,Price_USD,Manufacturing_Country
CAR_0052,Mercedes,2006,SUV,Diesel,Automatic,2720,488,13,41727,Japan
CAR_0053,Ford,2020,Pickup,Diesel,Automatic,4750,401,30,53244,China
CAR_0054,Nissan,2018,Sedan,Petrol,Manual,4467,219,15,76820,China
CAR_0055,Nissan,2010,SUV,Hybrid,Manual,1356,336,17,34660,China
CAR_0056,Honda,2007,SUV,Electric,Automatic,3675,227,21,61620,Japan
CAR_0057,Ford,2006,Hatchback,Petrol,Automatic,2068,390,15,89666,USA
CAR_0058,Mercedes,2014,Coupe,Petrol,Automatic,2449,398,23,7376,UK
CAR_0059,Hyundai,2019,Hatchback,Electric,Manual,4759,325,26,15533,UK
CAR_0060,Tesla,2016,Coupe,Diesel,Automatic,3692,241,16,26030,Japan
CAR_0061,Kia,2017,Coupe,Hybrid,Automatic,2268,420,21,94338,USA
CAR_0062,Toyota,2011,Sedan,Diesel,Automatic,4196,307,22,107140,South Korea
CAR_0063,Toyota,2010,Coupe,Petrol,Manual,3486,169,17,97963,South Korea
CAR_0064,Audi,2012,Sedan,Diesel,Automatic,3388,569,18,89404,USA
CAR_0065,Hyundai,2010,SUV,Electric,Automatic,4407,92,30,8438,UK
CAR_0066,BMW,2009,Coupe,Diesel,Automatic,4902,183,11,29850,Germany
CAR_0067,Hyundai,2022,Sedan,Petrol,Manual,2563,499,16,7703,Germany
CAR_0068,Ford,2024,Hatchback,Diesel,Automatic,3662,469,20,117850,South Korea
CAR_0069,Mercedes,2006,SUV,Hybrid,Manual,3474,158,11,86719,Japan
CAR_0070,Nissan,2010,SUV,Diesel,Automatic,3756,576,11,63738,South Korea
CAR_0071,Kia,2010,Sedan,Diesel,Manual,4042,557,29,29558,South Korea
CAR_0072,BMW,2019,Sedan,Electric,Automatic,1733,87,16,75514,UK
CAR_0073,Nissan,2010,Coupe,Hybrid,Automatic,4469,348,22,106739,Germany
CAR_0074,Tesla,2023,Coupe,Petrol,Automatic,1815,96,15,29000,USA
CAR_0075,Ford,2014,Hatchback,Electric,Automatic,3659,268,25,76983,Germany
CAR_0076,Kia,2015,Pickup,Diesel,Automatic,2443,243,16,119587,South Korea
CAR_0077,Nissan,2012,Sedan,Petrol,Manual,2589,431,23,73201,Germany
CAR_0078,BMW,2017,SUV,Diesel,Automatic,4899,124,13,28588,South Korea
CAR_0079,Tesla,2018,Pickup,Petrol,Automatic,3224,503,14,119258,China
CAR_0080,Ford,2013,Pickup,Petrol,Manual,3805,432,14,114221,UK
CAR_0081,Toyota,2018,Pickup,Hybrid,Automatic,1020,536,22,50814,Germany
CAR_0082,Tesla,2025,SUV,Diesel,Automatic,3664,568,16,12319,UK
CAR_0083,Honda,2014,Sedan,Diesel,Automatic,1930,78,13,84035,China
CAR_0084,Hyundai,2015,Sedan,Electric,Automatic,3291,204,16,87233,South Korea
CAR_0085,BMW,2007,SUV,Diesel,Manual,4555,352,18,70411,UK
CAR_0086,Audi,2020,SUV,Electric,Manual,1026,331,20,18792,Germany
CAR_0087,Honda,2022,SUV,Electric,Manual,3967,137,30,22091,USA
CAR_0088,Kia,2016,Pickup,Petrol,Manual,4611,149,13,5221,China
CAR_0089,Hyundai,2009,SUV,Diesel,Manual,3564,100,29,5989,China
CAR_0090,Ford,2023,Sedan,Hybrid,Manual,1883,231,18,12591,China
CAR_0091,Kia,2012,SUV,Hybrid,Automatic,3587,165,29,10728,Germany
CAR_0092,Hyundai,2014,Pickup,Petrol,Automatic,2312,485,17,61508,Japan
CAR_0093,Nissan,2020,SUV,Electric,Automatic,4994,301,12,7283,USA
CAR_0094,Ford,2022,Sedan,Diesel,Manual,3654,287,23,74935,USA
CAR_0095,Hyundai,2023,Sedan,Electric,Manual,4965,156,17,83841,USA
CAR_0096,Ford,2010,Pickup,Electric,Automatic,4964,499,10,51708,USA
CAR_0097,Honda,2008,Coupe,Electric,Manual,3897,322,25,79534,Germany
CAR_0098,Audi,2014,Coupe,Petrol,Automatic,2677,560,11,25809,USA
CAR_0099,Hyundai,2023,Hatchback,Diesel,Manual,3592,252,22,22245,Germany
CAR_0100,Ford,2010,Hatchback,Diesel,Manual,2951,323,13,52934,USA
CAR_0101,Honda,2015,Coupe,Hybrid,Manual,4555,349,15,38522,Germany
CAR_0102,BMW,2005,SUV,Petrol,Manual,1151,394,17,12406,Germany
CAR_0103,Tesla,2009,Sedan,Hybrid,Manual,2717,460,12,95899,Japan
CAR_0104,Nissan,2017,Pickup,Petrol,Manual,4040,120,27,87674,UK
CAR_0105,Hyundai,2007,Sedan,Electric,Manual,2635,183,24,9197,Germany
CAR_0106,Nissan,2020,Pickup,Hybrid,Manual,1947,235,12,117199,UK
CAR_0107,Toyota,2025,Coupe,Diesel,Manual,1332,423,27,18962,China
CAR_0108,Tesla,2021,Coupe,Hybrid,Manual,4823,182,17,23687,China
CAR_0109,BMW,2010,Hatchback,Petrol,Automatic,2066,338,23,13047,Germany
CAR_0110,Honda,2014,Pickup,Diesel,Manual,4702,110,11,18918,South Korea
CAR_0111,Nissan,2014,Pickup,Hybrid,Manual,2200,73,29,27328,USA
CAR_0112,Tesla,2013,Coupe,Hybrid,Manual,1255,274,25,64566,Japan
CAR_0113,BMW,2008,Sedan,Electric,Manual,2280,480,25,47553,Germany
CAR_0114,Mercedes,2010,Pickup,Hybrid,Manual,2020,491,30,112236,UK
CAR_0115,Ford,2015,Sedan,Diesel,Manual,2020,463,16,104688,Japan
CAR_0116,Toyota,2007,Hatchback,Hybrid,Manual,4382,552,23,42173,China
CAR_0117,Mercedes,2024,Sedan,Petrol,Manual,2882,81,17,53599,China
CAR_0118,BMW,2013,Sedan,Hybrid,Manual,1571,154,14,34874,Japan
CAR_0119,Hyundai,2019,SUV,Diesel,Manual,3827,121,23,54163,South Korea
CAR_0120,Tesla,2018,Hatchback,Hybrid,Manual,1500,70,24,77525,South Korea
CAR_0121,Ford,2008,SUV,Electric,Manual,2997,151,17,23612,South Korea
CAR_0122,Kia,2020,Sedan,Diesel,Automatic,2694,571,21,25946,Germany
CAR_0123,Nissan,2020,Hatchback,Electric,Automatic,2748,295,28,49232,USA
CAR_0124,Kia,2025,Sedan,Diesel,Manual,4033,295,10,9581,South Korea
CAR_0125,Audi,2017,Pickup,Petrol,Manual,2416,469,30,106072,China
CAR_0126,BMW,2015,Coupe,Hybrid,Manual,3918,158,17,10700,China
CAR_0127,Audi,2025,Pickup,Petrol,Automatic,4459,403,16,115025,UK
CAR_0128,Ford,2007,SUV,Electric,Manual,3603,384,23,110016,UK
CAR_0129,Kia,2016,Hatchback,Electric,Automatic,1955,407,24,68618,Japan
CAR_0130,Toyota,2009,Hatchback,Hybrid,Manual,3955,165,12,98630,UK
CAR_0131,Nissan,2007,Hatchback,Electric,Automatic,2086,568,29,10458,USA
CAR_0132,Audi,2019,Coupe,Electric,Manual,4372,173,28,102101,USA
CAR_0133,Tesla,2005,Coupe,Hybrid,Manual,1509,365,17,46319,China
CAR_0134,Honda,2020,SUV,Petrol,Automatic,3230,583,25,19130,South Korea
CAR_0135,Nissan,2016,Pickup,Electric,Automatic,4626,392,26,25345,South Korea
CAR_0136,BMW,2018,SUV,Petrol,Automatic,3610,212,23,19354,Japan
CAR_0137,Ford,2007,Sedan,Electric,Manual,3469,155,22,57492,Japan
CAR_0138,Tesla,2006,Coupe,Hybrid,Automatic,2799,503,11,15201,Japan
CAR_0139,Nissan,2006,SUV,Hybrid,Manual,3118,363,28,105856,USA
CAR_0140,Honda,2012,SUV,Diesel,Automatic,1047,503,25,101142,China
CAR_0141,Nissan,2009,Sedan,Electric,Manual,3424,254,21,40509,USA
CAR_0142,Nissan,2023,Sedan,Petrol,Manual,2833,88,23,23796,China
CAR_0143,Toyota,2013,SUV,Hybrid,Manual,4698,472,13,117883,Germany
CAR_0144,Nissan,2019,Hatchback,Electric,Manual,3117,246,23,20621,Germany
CAR_0145,Tesla,2021,Hatchback,Hybrid,Manual,1830,575,23,70833,USA
CAR_0146,Nissan,2016,SUV,Petrol,Automatic,4277,273,20,117882,UK
CAR_0147,Mercedes,2008,Hatchback,Diesel,Manual,4948,115,19,28805,Germany
CAR_0148,BMW,2020,Pickup,Electric,Automatic,3642,271,22,78741,Japan
CAR_0149,BMW,2014,Hatchback,Petrol,Manual,2029,314,13,65230,UK
CAR_0150,Honda,2023,Sedan,Petrol,Automatic,2638,87,18,86302,USA
CAR_0151,Hyundai,2007,Coupe,Petrol,Manual,1826,505,14,78797,Germany
CAR_0152,Ford,2010,SUV,Petrol,Manual,3584,597,18,36600,Germany
CAR_0153,Toyota,2009,Coupe,Diesel,Automatic,4061,164,10,100637,USA
CAR_0154,Toyota,2010,SUV,Diesel,Manual,4111,362,19,103966,USA
CAR_0155,Mercedes,2009,SUV,Hybrid,Manual,2574,172,24,59467,UK
CAR_0156,Toyota,2020,Pickup,Hybrid,Manual,3855,421,15,46924,China
CAR_0157,Audi,2010,Hatchback,Hybrid,Manual,4423,210,20,7546,USA
CAR_0158,Nissan,2016,SUV,Petrol,Manual,2687,237,14,106912,USA
CAR_0159,Honda,2017,Sedan,Hybrid,Automatic,2992,129,24,49411,Germany
CAR_0160,Tesla,2018,SUV,Electric,Automatic,2606,379,30,37163,Germany
CAR_0161,Kia,2017,Hatchback,Petrol,Manual,1235,375,14,35555,Germany
CAR_0162,Audi,2012,Pickup,Electric,Manual,4946,553,28,96826,Japan
CAR_0163,Nissan,2015,Sedan,Electric,Manual,1373,595,15,114015,South Korea
CAR_0164,Audi,2017,Sedan,Electric,Manual,2690,83,30,20494,USA
CAR_0165,Toyota,2009,Sedan,Electric,Manual,4662,116,30,114361,South Korea
CAR_0166,Mercedes,2023,SUV,Petrol,Automatic,1711,341,22,100281,Japan
CAR_0167,Honda,2017,Coupe,Electric,Manual,1800,204,14,13058,China
CAR_0168,Audi,2019,Hatchback,Hybrid,Manual,3897,248,14,20921,China
CAR_0169,Kia,2023,Coupe,Petrol,Automatic,3976,91,21,54604,Germany
CAR_0170,Ford,2025,Hatchback,Petrol,Automatic,4391,318,21,59275,Germany
CAR_0171,Mercedes,2010,SUV,Diesel,Automatic,2337,346,23,90704,China
CAR_0172,Hyundai,2006,Pickup,Electric,Automatic,3778,215,18,56406,Japan
CAR_0173,Tesla,2008,Coupe,Petrol,Automatic,3510,287,20,84228,South Korea
CAR_0174,Mercedes,2010,Pickup,Hybrid,Automatic,4349,417,24,103618,Germany
CAR_0175,Ford,2009,SUV,Electric,Automatic,3025,402,16,6365,China
CAR_0176,BMW,2005,Coupe,Hybrid,Automatic,2240,331,13,89524,China
CAR_0177,Mercedes,2019,Coupe,Petrol,Manual,1477,234,17,89925,USA
CAR_0178,Hyundai,2013,Hatchback,Hybrid,Manual,4305,103,24,105320,UK
CAR_0179,BMW,2015,Coupe,Hybrid,Manual,1416,157,16,79234,Germany
CAR_0180,Honda,2023,SUV,Hybrid,Manual,3140,298,11,54789,Germany
CAR_0181,Kia,2021,Hatchback,Petrol,Manual,3854,575,12,84238,China
CAR_0182,Kia,2013,SUV,Diesel,Automatic,2286,215,11,89771,China
CAR_0183,Toyota,2018,Pickup,Hybrid,Automatic,4080,437,12,78241,Germany
CAR_0184,Tesla,2019,SUV,Diesel,Automatic,3148,437,10,52431,USA
CAR_0185,Tesla,2022,SUV,Electric,Automatic,2075,569,11,100280,Japan
CAR_0186,Honda,2021,Sedan,Petrol,Manual,4740,318,24,109215,China
CAR_0187,Audi,2015,Pickup,Petrol,Automatic,1561,372,12,49872,UK
CAR_0188,Hyundai,2015,Sedan,Petrol,Manual,4527,289,12,108098,USA
CAR_0189,Nissan,2016,SUV,Petrol,Automatic,3206,227,22,11057,China
CAR_0190,Ford,2005,Pickup,Petrol,Manual,2484,91,19,67062,USA
CAR_0191,BMW,2007,SUV,Hybrid,Manual,1472,324,15,37991,South Korea
CAR_0192,Ford,2012,Sedan,Hybrid,Automatic,2071,419,14,85567,UK
CAR_0193,Nissan,2023,Hatchback,Electric,Manual,2602,443,15,22274,South Korea
CAR_0194,Ford,2007,Hatchback,Hybrid,Automatic,1956,502,29,41421,Germany
CAR_0195,Nissan,2020,SUV,Diesel,Automatic,4798,464,20,36019,Japan
CAR_0196,Audi,2017,SUV,Petrol,Automatic,2766,106,14,33420,USA
CAR_0197,Kia,2016,Sedan,Hybrid,Manual,3734,321,25,103573,USA
CAR_0198,Toyota,2010,Pickup,Diesel,Automatic,2596,595,22,74817,South Korea
CAR_0199,Hyundai,2007,Pickup,Hybrid,Automatic,3823,503,29,37993,South Korea
CAR_0200,Toyota,2017,Pickup,Petrol,Automatic,2224,168,15,55827,South Korea
CAR_0201,Toyota,2018,Sedan,Electric,Automatic,3423,329,15,22572,Japan
CAR_0202,Toyota,2020,Sedan,Petrol,Automatic,3055,485,24,100546,UK
CAR_0203,Mercedes,2009,SUV,Electric,Automatic,4205,340,20,20252,Japan
CAR_0204,Audi,2025,Coupe,Electric,Automatic,3297,212,24,14652,Japan
CAR_0205,Toyota,2008,Pickup,Diesel,Manual,1176,389,18,64106,Germany
CAR_0206,BMW,2011,Coupe,Petrol,Manual,3479,403,13,105091,South Korea
CAR_0207,Hyundai,2025,SUV,Electric,Automatic,1253,350,14,26153,UK
CAR_0208,Toyota,2021,Pickup,Electric,Manual,1541,478,28,59533,China
CAR_0209,Mercedes,2006,Coupe,Hybrid,Manual,4906,529,24,105260,China
CAR_0210,Tesla,2012,Sedan,Petrol,Manual,3963,495,30,79161,USA
CAR_0211,Tesla,2013,Coupe,Diesel,Manual,2943,398,25,37900,South Korea
CAR_0212,Mercedes,2005,Sedan,Hybrid,Manual,2583,434,23,100900,Germany
CAR_0213,Toyota,2012,Coupe,Hybrid,Manual,3976,213,23,30465,Japan
CAR_0214,Ford,2006,Hatchback,Diesel,Automatic,1287,379,22,21753,Germany
CAR_0215,Nissan,2016,Pickup,Diesel,Manual,2420,346,29,8766,South Korea
CAR_0216,Kia,2015,Sedan,Electric,Manual,2149,167,21,9260,Germany
CAR_0217,Tesla,2008,Hatchback,Petrol,Automatic,1008,466,11,64752,Japan
CAR_0218,BMW,2015,Hatchback,Hybrid,Automatic,3003,150,21,109464,South Korea
CAR_0219,Kia,2021,Sedan,Hybrid,Manual,1640,137,30,88901,China
CAR_0220,Toyota,2025,Sedan,Hybrid,Automatic,3207,546,12,116860,China
CAR_0221,Ford,2023,Hatchback,Petrol,Manual,2389,241,24,14195,UK
CAR_0222,Hyundai,2022,Coupe,Electric,Manual,1389,236,20,61460,Japan
CAR_0223,Tesla,2023,Coupe,Diesel,Automatic,2731,347,24,95455,USA
CAR_0224,Nissan,2023,SUV,Diesel,Automatic,4096,592,20,104211,Japan
CAR_0225,Hyundai,2005,SUV,Electric,Automatic,2272,365,22,69086,Germany
CAR_0226,BMW,2012,Sedan,Electric,Automatic,4093,73,26,8932,South Korea
CAR_0227,Hyundai,2009,Pickup,Hybrid,Manual,1655,172,10,81677,USA
CAR_0228,Ford,2019,Sedan,Hybrid,Manual,2458,127,21,51434,Japan
CAR_0229,Mercedes,2016,SUV,Electric,Automatic,4507,241,13,108152,UK
CAR_0230,Nissan,2014,SUV,Petrol,Manual,1801,120,30,29828,China
CAR_0231,Mercedes,2022,Sedan,Electric,Automatic,1805,558,16,22944,USA
CAR_0232,Toyota,2022,Sedan,Electric,Automatic,3251,166,20,38889,UK
CAR_0233,Toyota,2025,Pickup,Hybrid,Automatic,3245,186,21,62946,China
CAR_0234,Nissan,2019,Sedan,Electric,Automatic,2004,245,16,108928,USA
CAR_0235,Nissan,2006,Hatchback,Diesel,Automatic,1458,406,24,88298,USA
CAR_0236,Mercedes,2016,Sedan,Electric,Automatic,4978,518,18,92232,South Korea
CAR_0237,Nissan,2020,Coupe,Electric,Manual,1422,349,14,45225,Japan
CAR_0238,Nissan,2012,Coupe,Hybrid,Automatic,3665,469,13,50902,South Korea
CAR_0239,Toyota,2008,Sedan,Diesel,Automatic,3309,179,14,5818,UK
CAR_0240,Mercedes,2007,SUV,Diesel,Manual,3395,483,23,63238,USA
CAR_0241,Toyota,2013,SUV,Diesel,Automatic,4328,571,30,40284,China
CAR_0242,BMW,2007,SUV,Hybrid,Automatic,3642,393,19,37370,UK
CAR_0243,Kia,2015,Coupe,Electric,Manual,4092,531,17,49552,UK
CAR_0244,Tesla,2024,Pickup,Electric,Manual,1684,91,15,47850,China
CAR_0245,Tesla,2024,Hatchback,Electric,Manual,2092,270,11,28272,UK
CAR_0246,Nissan,2019,Sedan,Hybrid,Automatic,1933,219,15,5358,UK
CAR_0247,Kia,2018,Hatchback,Petrol,Automatic,4024,586,28,19507,China
CAR_0248,Kia,2006,Coupe,Electric,Manual,2002,510,16,71626,China
CAR_0249,Nissan,2023,Coupe,Petrol,Automatic,4077,267,19,43715,UK
CAR_0250,BMW,2007,Sedan,Petrol,Manual,2685,573,24,79024,China
CAR_0251,Tesla,2011,Coupe,Petrol,Manual,3575,403,25,48374,China
CAR_0252,Nissan,2011,Pickup,Petrol,Automatic,4938,538,19,47010,USA
CAR_0253,Toyota,2020,Pickup,Electric,Manual,3259,401,28,54101,USA
CAR_0254,Mercedes,2013,Sedan,Petrol,Automatic,3621,87,24,11756,UK
CAR_0255,Ford,2024,Sedan,Diesel,Automatic,3864,599,21,59084,South Korea
CAR_0256,Audi,2017,Hatchback,Hybrid,Automatic,4167,229,16,110237,Germany
CAR_0257,Audi,2006,Sedan,Diesel,Manual,1257,508,14,74922,China
CAR_0258,Hyundai,2020,Sedan,Hybrid,Automatic,3754,102,27,96959,UK
CAR_0259,Toyota,2024,Coupe,Electric,Automatic,3466,407,13,82581,UK
CAR_0260,Mercedes,2022,Hatchback,Petrol,Automatic,3953,314,30,22283,USA
CAR_0261,BMW,2011,Hatchback,Hybrid,Manual,1307,277,19,87875,UK
CAR_0262,Nissan,2025,Sedan,Hybrid,Automatic,4981,171,17,6286,Japan
CAR_0263,Tesla,2025,Sedan,Diesel,Manual,3289,497,11,75150,Germany
CAR_0264,Hyundai,2015,Coupe,Diesel,Automatic,1972,457,25,110459,Japan
CAR_0265,Kia,2010,Sedan,Electric,Manual,2782,216,28,114695,South Korea
CAR_0266,Hyundai,2019,Pickup,Petrol,Automatic,3407,306,16,55367,USA
CAR_0267,Ford,2020,Sedan,Hybrid,Manual,2423,205,24,38970,Japan
CAR_0268,Toyota,2009,Sedan,Diesel,Manual,1600,306,14,58231,Germany
CAR_0269,Toyota,2023,Hatchback,Hybrid,Manual,4687,452,29,99029,Germany
CAR_0270,BMW,2006,Sedan,Diesel,Automatic,2419,91,12,83695,South Korea
CAR_0271,Tesla,2015,Pickup,Hybrid,Manual,4826,324,10,67060,South Korea
CAR_0272,Honda,2013,Hatchback,Diesel,Manual,1947,211,11,40790,UK
CAR_0273,Ford,2007,Pickup,Petrol,Manual,2867,260,22,27993,UK
CAR_0274,Mercedes,2018,Pickup,Diesel,Automatic,4097,574,11,11442,Germany
CAR_0275,Kia,2020,Coupe,Petrol,Automatic,2470,598,15,94659,South Korea
CAR_0276,Toyota,2025,Pickup,Hybrid,Automatic,3165,446,13,19551,USA
CAR_0277,Tesla,2015,Pickup,Hybrid,Automatic,2755,262,26,46533,South Korea
CAR_0278,Mercedes,2018,SUV,Diesel,Manual,3159,310,24,108404,China
CAR_0279,Mercedes,2020,Pickup,Electric,Manual,2980,151,28,107351,Japan
CAR_0280,Hyundai,2011,Hatchback,Diesel,Automatic,2631,72,10,105542,South Korea
CAR_0281,Honda,2010,SUV,Diesel,Manual,1654,328,24,70352,UK
CAR_0282,Hyundai,2005,Coupe,Petrol,Manual,2404,315,17,5407,Japan
CAR_0283,Hyundai,2007,Sedan,Petrol,Automatic,4942,115,17,71208,UK
CAR_0284,Ford,2020,Sedan,Petrol,Automatic,3283,414,18,103021,Germany
CAR_0285,Nissan,2020,Hatchback,Diesel,Manual,3609,109,17,111581,South Korea
CAR_0286,Honda,2021,Pickup,Petrol,Manual,3731,547,27,11380,China
CAR_0287,Nissan,2006,Sedan,Diesel,Automatic,2844,245,24,44882,Japan
CAR_0288,Toyota,2014,Hatchback,Petrol,Automatic,1139,546,21,20435,China
CAR_0289,Hyundai,2017,SUV,Diesel,Automatic,2820,531,30,61551,UK
CAR_0290,Mercedes,2009,SUV,Diesel,Automatic,4066,166,21,36575,USA
CAR_0291,Audi,2023,Hatchback,Diesel,Manual,1641,361,13,86947,Germany
CAR_0292,Kia,2016,Coupe,Petrol,Manual,1955,75,10,85685,South Korea
CAR_0293,Kia,2013,Coupe,Electric,Manual,3311,291,12,63413,UK
CAR_0294,Hyundai,2021,Hatchback,Petrol,Automatic,1337,376,29,87124,Germany
CAR_0295,BMW,2022,Sedan,Diesel,Manual,4627,520,16,68006,UK
CAR_0296,Audi,2015,Pickup,Hybrid,Automatic,3572,137,30,74301,Germany
CAR_0297,Ford,2023,Hatchback,Petrol,Manual,4348,342,21,97523,USA
CAR_0298,Mercedes,2020,SUV,Electric,Automatic,3538,151,10,66351,Japan
CAR_0299,Ford,2023,Coupe,Diesel,Manual,3954,442,10,85653,Germany
CAR_0300,Kia,2023,SUV,Hybrid,Manual,2645,536,15,118185,Germany
